job_role,skills
Data Scientist,"Python SQL Machine Learning Statistics Pandas Data Analysis"
AI Engineer,"Python Machine Learning Deep Learning TensorFlow Neural Networks"
Backend Developer,"Python Java SQL APIs Databases"
DevOps Engineer,"Docker AWS Linux Kubernetes Automation"
Cloud Engineer,"AWS Cloud Computing Docker Kubernetes Linux"
Frontend Developer,"HTML CSS JavaScript React Web Development"
Data Analyst,"Python SQL Excel Pandas Data Visualization"
Machine Learning Engineer,"Python Machine Learning Scikit-learn TensorFlow Data Processing"
Software Engineer,"Python Java C++ Data Structures Algorithms"
Database Administrator,"SQL Databases MySQL PostgreSQL Data Management"
